stroke_team,Thrombolysis rate
VKKDD9172T,0.4527
GKONI0110I,0.4132
HPWIF9956L,0.4131
CNBGF2713O,0.4093
TPXYE0168D,0.3962
NTPQZ0829K,0.3923
MHMYL4920B,0.3894
QWKRA8499D,0.3882
XDAFB7350M,0.3867
HBFCN1575G,0.3811
IAZKG9244A,0.3757
QQUVD2066Z,0.3673
SMVTP6284P,0.3634
XKAWN3771U,0.3613
KZKEZ2257Z,0.3607
EQPWM6065O,0.3536
PDNWI2057P,0.3466
OYASQ1316D,0.3463
YQMZV4284N,0.3424
DLNBB9786K,0.3396
AKCGO9726K,0.3394
PAOUI8935Z,0.3394
RGJWU8840Q,0.3377
GWOXR9160G,0.3343
UWCEW6851O,0.3341
VZOCK3505U,0.3329
BQZGT7491V,0.3307
QZMCK3259S,0.3301
NGKDE7265L,0.3236
TPFFP4410O,0.3226
OHGIK1804X,0.3225
GLRVJ5773V,0.3222
HZNVT9936G,0.3206
QOAPO4699N,0.3205
TBZOA3799I,0.319
XWUBX0795L,0.3164
FYFMU3598G,0.315
JINXD0311F,0.3149
UJETD9177J,0.3115
AGNOF1041H,0.3088
ATDID5461S,0.3084
UALFR2142B,0.3058
XIGJJ1201J,0.3036
VKHPY9501A,0.3033
ZHCLE1578P,0.3029
LZGVG8257A,0.3018
ROOIZ9592Y,0.2993
WSNTP4114A,0.2988
DNOYM6465G,0.2965
TXYJJ1019H,0.2951
REVJR6326T,0.2937
LUVFZ2751A,0.2902
APXEE8191H,0.2897
UMYTD3128E,0.2872
TQQYU0036V,0.2864
JHDQL1362V,0.2851
QTELJ8888W,0.2839
WSFVN0229E,0.2839
EQZZZ5658G,0.2835
OFKDF3720W,0.2832
NZECY6641V,0.2826
FWHZZ0143J,0.2813
LLPWF6176Z,0.2792
CYVHC2532V,0.279
PSNKC7508G,0.2781
SJVFI6669M,0.2765
VUHVS8909F,0.2756
FLVXS2956M,0.275
FCCJC8768V,0.2748
TXHRP7672C,0.273
HONZP0443O,0.2718
ITFRR7678Y,0.2714
SBRDX1922J,0.2713
UIWEN7236N,0.2712
CQAAX8797Z,0.2701
HGGNH9018F,0.2701
BXXZS5063A,0.27
TMQMS4307W,0.2695
KECZG3964M,0.2659
JXJYG0100P,0.2658
GRCGI3873D,0.264
OQYTM8444L,0.2635
YPKYH1768F,0.2624
IWINL6248B,0.262
QNARI2373R,0.2602
HREGJ0143U,0.26
PAYNN3649Z,0.2598
WTBXP2683L,0.2578
FPTBM7594G,0.2566
WKDIW7014B,0.2564
SBYTE4026H,0.2553
JRXDG8181O,0.2521
QOGNY5824N,0.2515
VZZSN1825O,0.2467
IDHVL2894N,0.2464
JADBS8258F,0.2464
FAJKD7118X,0.2431
LFZMO6561M,0.2406
ISIZF6614O,0.24
DZJVD1372Z,0.2398
XDFKW2704K,0.2391
TFSJP6914B,0.2376
AOBTM3098N,0.2372
OKVRY7006H,0.2367
NFBUF0424E,0.2364
VVDIY0129H,0.2359
DANAH4615Q,0.2335
XQAGA4299B,0.2314
SQGXB9559U,0.23
ZRRCV7012C,0.2276
NZNML2841Q,0.2264
WJHSV5358P,0.2239
RDVPJ0375X,0.2205
BICAW1125K,0.215
ZBVSO0975W,0.2126
HYNBH3271L,0.2124
TKRKH4920C,0.2109
YEXCH8391J,0.2094
BBXPQ0212O,0.2079
IUMNL9626U,0.2058
IYJHY1440E,0.2055
IATJE0497S,0.2034
DQKFO8183I,0.2025
LZAYM7611L,0.1905
LFPMM4706C,0.1716
HYCCK3082L,0.1641
ISXKM9668U,0.1521
LECHF1024T,0.1478
LGNPK4211W,0.1445
OUXUZ1084Q,0.1295
HZMLX7970T,0.1149
XPABC1435F,0.101
