feature,feature_value,mean_shap,std_shap
stroke_severity,0,-2.7597284,0.4768457
stroke_severity,1,-2.4109008,0.42037073
stroke_severity,2,-1.6254028,0.3018741
stroke_severity,3,-0.987334,0.25092062
stroke_severity,4,-0.25683358,0.1705335
stroke_severity,5,0.23272018,0.12596448
stroke_severity,6,0.47530368,0.15537162
stroke_severity,7,0.60593474,0.16027871
stroke_severity,8,0.73632103,0.1750213
stroke_severity,9,0.7089081,0.17292722
stroke_severity,10,0.7791498,0.20495935
stroke_severity,11,0.84773785,0.19329189
stroke_severity,12,0.80113083,0.21624531
stroke_severity,13,0.8444256,0.21430843
stroke_severity,14,0.8744957,0.22111002
stroke_severity,15,0.85648435,0.2165395
stroke_severity,16,0.83855575,0.22941937
stroke_severity,17,0.9093796,0.23308393
stroke_severity,18,0.9145685,0.2291038
stroke_severity,19,0.90180665,0.23936321
stroke_severity,20,0.9165768,0.238856
stroke_severity,21,0.87204987,0.21616857
stroke_severity,22,0.8917238,0.22970827
stroke_severity,23,0.84021854,0.24082899
stroke_severity,24,0.8300073,0.23904724
stroke_severity,25,0.645539,0.26229852
stroke_severity,26,0.43804833,0.2858675
stroke_severity,27,0.38979074,0.2134597
stroke_severity,28,0.3426,0.28493896
stroke_severity,29,0.36500973,0.22937034
stroke_severity,30,0.37067643,0.23200412
stroke_severity,31,-0.04460504,0.23229462
stroke_severity,32,0.026107786,0.242196
stroke_severity,33,-0.18827933,0.24096195
stroke_severity,34,-0.37648523,0.22467831
stroke_severity,35,-0.4558782,0.2727203
stroke_severity,36,-0.38015148,0.31243452
stroke_severity,37,0.100647286,0.40982124
stroke_severity,38,-0.29869038,0.2118572
stroke_severity,39,-0.85862845,0.26046425
stroke_severity,40,-0.6441047,0.264445
stroke_severity,41,-0.61217123,0.38490358
stroke_severity,42,-0.7075524,0.30341187
prior_disability,0,0.3637172,0.092354424
prior_disability,1,-0.026160976,0.09172765
prior_disability,2,-0.30488464,0.12548117
prior_disability,3,-0.6010536,0.18285811
prior_disability,4,-1.1350263,0.30466372
prior_disability,5,-1.5599704,0.35441267
age,37.5,0.18018922,0.16169578
age,42.5,0.241332,0.16652997
